#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
🔄	counterclockwise arrows button	again | anticlockwise | anticlockwise downwards and upwards open circle arrows | arrow | arrows | button | counterclockwise | counterclockwise arrows button | deja | refresh | rewindershins | vu	piler mot klokken	mot klokken | piler | piler mot klokken	de	Pfeile gegen den Uhrzeigersinn	gegen den Uhrzeigersinn | Kreisförmige Pfeile gegen den Uhrzeigersinn | kreisförmige Pfeile gegen den Uhrzeigersinn | Pfeile | Pfeile gegen den Uhrzeigersinn	it	frecce che ruotano in senso antiorario	antiorario | circolo | di nuovo | frecce | frecce a cerchio aperto | frecce che ruotano in senso antiorario | frecce senso antiorario | ricarica | ricaricare | simbolo	fr	flèches dans le sens antihoraire	actualiser | flèche | flèches | flèches dans le sens antihoraire | retour | sens antihoraire | sens contraire des aiguilles d’une montre | sens horaire inverse | sens inverse des aiguilles d’une montre
🔅	dim button	brightness | button | dim | dim button | low | low brightness symbol	lite lys-knapp	lav | lite lys-knapp | lysstyrke	de	Taste Dimmen	dimmen | gedimmt | Helligkeit | Schwache Helligkeit | schwache Helligkeit | Taste Dimmen	it	luminosità bassa	bassa | faretto | faro | luce | luminosità | luminosità bassa | simbolo luminosità | sole | tenue	fr	luminosité faible	brillance | luminosité | luminosité faible | lumière | soleil
🔆	bright button	bright | bright button | brightness | button | high brightness symbol | light	mye lys-knapp	høy | lysstyrke | mye lys-knapp	de	Heller-Taste	heller | Heller-Taste | Helligkeit | Starke Helligkeit | starke Helligkeit	it	luminosità elevata	alta luminosità | luminosità | luminosità elevata | luminoso | simbolo alta luminosità | sole	fr	luminosité élevée	brillance | luminosité | luminosité élevée | lumière | soleil
🔇	muted speaker	mute | muted | muted speaker | quiet | silent | sound | speaker | speaker with cancellation stroke	dempet høyttaler	dempet | dempet høyttaler | høyttaler med strek over | ingen prating | stille	de	durchgestrichener Lautsprecher	Durchgestrichener Lautsprecher | durchgestrichener Lautsprecher | leise | psst | stumm | stummgeschaltet	it	altoparlante disattivato	altoparlante barrato | altoparlante disattivato | audio | megafono barrato | musica | muto | no audio | no volume | silenzioso | speaker barrato | suono disattivato | volume | zitto	fr	muet	chut | enceinte | haut-parleur barré | haut-parleur d’enceinte | muet | silence | son | sourdine
🔈	speaker low volume	low | soft | sound | speaker | speaker low volume | volume	høyttaler med lavt volum	høyttaler med lavt volum | lav | lyd | ropert	de	Lautsprecher mit geringer Lautstärke	eingeschaltet | Lautsprecher mit geringer Lautstärke | Ton an	it	altoparlante a volume basso	altoparlante a basso volume | altoparlante a volume basso | altoparlante attivato | audio | basso volume | megafono | speaker | suoneria | suono | suono attivo | volume | volume basso	fr	volume des enceintes faible	enceinte | haut-parleur | haut-parleur d’enceinte | son | volume bas | volume des enceintes faible
🔉	speaker medium volume	medium | sound | speaker | speaker medium volume | speaker with one sound wave | volume	høyttaler med middels volum	høyttaler med middels volum | lyd | middels | ropert	de	Lautsprecher mit mittlerer Lautstärke	Lautsprecher mit einer Schallwelle | Lautsprecher mit mittlerer Lautstärke | leise | mittellaut | Ton	it	altoparlante a volume intermedio	altoparlante a volume intermedio | altoparlante volume basso | audio | basso | megafono | speaker | suono | volume basso | volume intermedio | volume medio	fr	volume des enceintes moyen	enceinte | haut-parleur | haut-parleur d’enceinte | son | volume des enceintes moyen | volume moyen
🔊	speaker high volume	high | loud | music | sound | speaker | speaker high volume | speaker with three sound waves | volume	høyttaler med høyt volum	høy | høyttaler med høyt volum | lyd | ropert	de	Lautsprecher mit hoher Lautstärke	Dezibel | laut | Lautsprecher mit drei Schallwellen | Lautsprecher mit hoher Lautstärke | Musik | Schallwellen	it	altoparlante a volume alto	alto | altoparlante a volume alto | audio | megafono | musica | speaker | suono | volume	fr	volume des enceintes élevé	enceinte | fort | haut-parleur | haut-parleur d’enceinte | musique | son | volume des enceintes élevé | volume élevé
🔋	battery	battery	batteri	batteri | energilagring | strøm	de	Batterie	Akku | Batterie	it	batteria	autonomia | batteria | batteria scarica | carica | pila | ricaricare | verde	fr	pile	pile
🔌	electric plug	electric | electric plug | electricity | plug	støpsel	elektrisitet | elektrisk | plugg | støpsel	de	Netzstecker	Netzstecker | Stecker | Stromstecker	it	spina elettrica	elettrica | elettricista | elettricità | presa elettrica | spina | spina elettrica	fr	câble avec fiche électrique	branché | câble avec fiche électrique | prise | prise électrique | électricité
🔍	magnifying glass tilted left	glass | lab | left | left-pointing | left-pointing magnifying glass | magnifying | magnifying glass tilted left | science | search | tilted | tool	forstørrelsesglass mot venstre	forstørrelse | forstørrelsesglass mot venstre | glass | lupe | søk	de	Lupe nach links	Lupe nach links | Suche | Vergrößerungsglas	it	lente di ingrandimento rivolta a sinistra	cerca | cercare | investigare | lente | lente di ingrandimento rivolta a sinistra | lente d’ingrandimento | lente ingrandimento | lente ingrandimento verso sinistra | verso sinistra	fr	loupe orientée à gauche	agrandir | chercher | détective | loupe | loupe gauche | loupe orientée à gauche | recherche
🔎	magnifying glass tilted right	contact | glass | lab | magnifying | magnifying glass tilted right | right | right-pointing | right-pointing magnifying glass | science | search | tilted | tool	forstørrelsesglass mot høyre	forstørrelse | forstørrelsesglass mot høyre | glass | lupe | søk	de	Lupe nach rechts	Lupe | Lupe nach rechts | Suche | Vergrößerungsglas	it	lente di ingrandimento rivolta a destra	cercare | investigare | investigatore | lente | lente di ingrandimento rivolta a destra | lente ingrandimento | lente ingrandimento verso destra | ricerca | spia | spiare | trovare	fr	loupe orientée à droite	agrandir | chercher | détective | loupe | loupe droite | loupe orientée à droite | recherche
🔏	locked with pen	ink | lock | lock with ink pen | locked | locked with pen | nib | pen | privacy	låst med penn	låst med penn | penn | personvern	de	Schloss mit Füller	Datenschutz | privat | Schloss mit Füller | Sicherheit	it	lucchetto con penna stilo	lucchetto | lucchetto con penna stilo | penna stilografica | privacy | stilo | stilografica	fr	cadenas fermé avec stylo	cadenas avec un stylo plume | cadenas fermé avec stylo | confidentiel | privé | stylo plume | verrouillé
🔐	locked with key	bike | closed | closed lock with key | key | lock | locked | locked with key | secure	låst med nøkkel	lås med nøkkel | låst med nøkkel | sikker	de	Schloss mit Schlüssel	Datenschutz | privat | Schloss mit Schlüssel | Sicherheit	it	lucchetto chiuso con chiave	chiave | chiuso a chiave | lucchetto | lucchetto chiuso | lucchetto chiuso a chave | lucchetto chiuso con chiave | segreto | sicurezza | sicuro	fr	cadenas fermé avec clé	cadenas | cadenas avec une clé | cadenas fermé avec clé | clé | fermé | privé | sécurisé | verrouillé
🔑	key	key | keys | lock | major | password | unlock	nøkkel	lås | nøkkel | passord	de	Schlüssel	Passwort | schließen | Schlüssel	it	chiave	casa | chiave | lucchetto | password | segreto | sicuro	fr	clé	clé | mot de passe | ouvrir | serrure
🔒	locked	closed | lock | locked | private	låst	hengelås | lås | låst | privat	de	geschlossenes Schloss	Datenschutz | geschlossen | Geschlossenes Schloss | geschlossenes Schloss | Schloss | Sicherheit	it	lucchetto chiuso	chiuso | chiuso a chiave | lucchetto | lucchetto chiuso | segreto | sicurezza	fr	cadenas fermé	cadenas | cadenas fermé | privé | verrouiller | verrouillé
🔓	unlocked	cracked | lock | open | open lock | unlock | unlocked	ulåst	hengelås | lås | ulåst | åpen	de	offenes Schloss	nicht gesichert | offen | Offenes Schloss | offenes Schloss | Schloss	it	lucchetto aperto	aperto | chiuso | lucchetto | lucchetto aperto | segreto | sicurezza	fr	cadenas ouvert	cadenas | cadenas ouvert | déverrouiller | ouvert | ouvrir
🔔	bell	bell | break | church | sound	bjelle	bjelle | klokke | ringing	de	Glocke	ding dong | Glocke | Klingeling | Ton eingeschaltet	it	campana	campana | campanella | campanello | chiesa | musica | scuola | stonato | suono	fr	cloche	cloche | clochette | sonner
🔕	bell with slash	bell | bell with cancellation stroke | bell with slash | forbidden | mute | no | not | prohibited | quiet | silent | slash | sound	overstreket bjelle	bjelle med strek over | ingen lyd | klokke | lydløs | overstreket bjelle | stille	de	durchgestrichene Glocke	Durchgestrichene Glocke | durchgestrichene Glocke | Glocke | kein ton | leise | Ton ausgeschaltet	it	campana sbarrata	audio | campana | campana sbarrata | divieto | muto | silenzio | suono | volume	fr	alarme désactivée	alarme désactivée | barrée | cloche | silence
🔖	bookmark	bookmark | mark	bokmerke	bokmerke | merke	de	Lesezeichen	Etikett | Lesen | Lesezeichen	it	segnalibro	etichetta | leggere | lettura | libro | segnalibro	fr	marque-page	marque-page | marqueur | signet
🔗	link	link | link symbol | links	lenke	lenke | link | to ringer	de	Linksymbol	Kettenglieder | Linksymbol | verknüpfen | Verknüpfung | Verknüpfungssymbol | zwei Ringe	it	collegamento	collegamento | due anelli | link | simbolo link	fr	chaînons	chaîne | chaînons | maillons | mousqueton
🔘	radio button	button | geometric | radio | radio button	radioknapp	knapp | radio | radioknapp	de	Optionsfeld	Optionsfeld | Schaltfläche	it	pulsante rotondo	campanello | cerchio | geometria | opzione | pulsante | pulsante della radio | pulsante rotondo	fr	bouton radio	bouton | bouton radio | forme | géométrie | géométrique | radio | rond
🔙	BACK arrow	arrow | BACK | BACK arrow | back with leftwards arrow above	BACK-pil	BACK-pil | pil | pil til venstre | tilbake | tilbakepil	de	BACK-Pfeil	BACK-Pfeil | links | Pfeil | zurück	it	freccia BACK	back | freccia | freccia BACK | freccia verso sinistra | indietro | indietro con freccia verso sinistra	fr	flèche Retour	flèche | flèche Retour | flèche vers la gauche | retour
🔚	END arrow	arrow | END | END arrow | end with leftwards arrow above	END-pil	END-pil | pil | pil til venstre | slutt | slutt med pil | sluttpil	de	END-Pfeil	END-Pfeil | Ende-Zeichen | links | Pfeil	it	freccia END	end | end con freccia verso sinistra | fine | freccia | freccia a sinistra | freccia END | freccia verso sinistra	fr	flèche Fin	fin | flèche | flèche Fin | flèche vers la gauche
🔛	ON! arrow	arrow | mark | on with exclamation mark with left right arrow above | ON! | ON! arrow	ON!-pil	ON | ON!-pil | pil | PÅ | utrop | utropstegn	de	ON!-Pfeil	anschalten | Ein-Zeichen | einschaltem | ON!-Pfeil | Pfeil | rechts und links	it	freccia ON	frecce | freccia | freccia ON | ON | ON con freccia e punto esclamativo | punto esclamativo | simbolo	fr	flèche Activé	activé | droite et gauche | flèche | flèche Activé | flèche dans les deux sens
🔜	SOON arrow	arrow | brb | omw | SOON | SOON arrow | soon with rightwards arrow above	SOON-pil	pil | snart | snart med pil | SOON-pil	de	SOON-Pfeil	Bald-Zeichen | Pfeil | rechts | SOON-Pfeil	it	freccia SOON	brb | freccia | freccia nera | freccia SOON | presto | simbolo | soon | soon con freccia verso destra | tra poco | un attimo	fr	flèche Bientôt	bientôt | flèche | flèche Bientôt
🔝	TOP arrow	arrow | homie | TOP | TOP arrow | top with upwards arrow above | up	TOP-pil	opp | pil opp | TOP | TOP-pil | topp | topp med pil	de	TOP-Pfeil	Pfeil nach oben | TOP-Pfeil | Top-Zeichen	it	freccia TOP	alto | freccia in alto | freccia TOP | freccia verso l’alto | simbolo Top | Top | Top con freccia verso l’alto	fr	flèche En haut	flèche | flèche En haut | flèche vers le haut | haut
🔞	no one under eighteen	18 | age | eighteen | forbidden | no | no one under eighteen | no one under eighteen symbol | not | one | prohibited | restriction | underage	aldersgrense 18 år	18 | aldersgrense 18 år | attenårsgrense | ingen under 18 | under 18	de	Minderjährige verboten	Erwachsene | Minderjährige verboten | Mindestalter | nicht jugendfrei | Zeichen mit durchgestrichener 18	it	simbolo di divieto ai minorenni	18 | 18 sbarrato | divieto | divieto ai minori | minori | proibito | simbolo di divieto ai minorenni | vietato | vietato ai minori | vietato ai minori di 18 | vietato ai minori di anni 18	fr	18 ans et plus	18 ans et plus | dix-huit | interdiction | interdit | interdit aux mineurs | interdit aux moins de dix-huit ans | limite d’âge | majorité | mineur
🔟	keycap: 10	keycap | keycap ten | keycap: 10	taster: 10	taster | taster: 10	de	Taste: 10	Taste | Taste: 10	it	tasto: 10	tasto | tasto: 10	fr	touches : 10	touches | touches : 10
🔠	input latin uppercase	ABCD | input | input latin uppercase | input symbol for latin capital letters | latin | letters | uppercase	store bokstaver	ABCD | bokstaver | inndata | store bokstaver	de	Eingabesymbol lateinische Großbuchstaben	abcd | Buchstaben | Eingabe | Eingabesymbol | Eingabesymbol lateinische Großbuchstaben | Großbuchstaben | großschreiben | lateinisch	it	pulsante con lettere latine maiuscole	abcd | caratteri latini | inserire | lettere | maiuscole | pulsante | pulsante con lettere latine maiuscole | tasto	fr	majuscules	ABCD | alphabet latin | lettres | lettres latines | majuscules | saisie | saisie en lettres majuscules
🔡	input latin lowercase	abcd | input | input latin lowercase | input symbol for latin small letters | latin | letters | lowercase	små bokstaver	abcd | bokstaver | inndata | små bokstaver	de	Eingabesymbol lateinische Kleinbuchstaben	Eingabesymbol lateinische Kleinbuchstaben | Kleinbuchstaben | lateinische Kleinbuchstaben	it	pulsante con lettere latine minuscole	caratteri latini | inserire | lettere | minuscole | pulsante | pulsante con lettere latine minuscole | tasto	fr	minuscules	abcd | alphabet latin | lettre | lettres | lettres latines | minuscules | saisie | saisie de lettres minuscules
🔢	input numbers	1234 | input | input numbers | input symbol for numbers | numbers	tall	1234 | inndata | numeriske data | tall	de	Eingabesymbol Zahlen	1234 | Eingabe | Eingabesymbol | Eingabesymbol Zahlen | Symbol | Zahlen | Ziffern	it	pulsante con numeri	1234 | inserire | numeri | pulsante con numeri | tastierino numerico	fr	saisie de chiffres	1234 | chiffres | saisie | saisie de chiffres
🔣	input symbols	% | & | input | input symbol for symbols | input symbols | symbols | ♪ | 〒	symboler	inndata | symboler | 〒♪&%	de	Eingabesymbol Sonderzeichen	% | & | Eingabe | Eingabesymbol | Eingabesymbol Sonderzeichen | keycap | Sonderzeichen | Symbol | Tastenkappe | ♪ | 〒	it	pulsante con simboli	inserire | pulsante con simboli | simboli | tastiera | tastierino simboli	fr	saisie de symboles	saisie | saisie de symboles | symboles
🔤	input latin letters	abc | alphabet | input | input latin letters | input symbol for latin letters | latin | letters	latinsk alfabet	ABC | bokstaver | inndata | latinsk | latinsk alfabet	de	Eingabesymbol lateinische Buchstaben	abc | Alphabet | Buchstaben | Eingabe | Eingabesymbol | Eingabesymbol lateinische Buchstaben | lateinisch | Symbol	it	pulsante con lettere latine	ABC | alfabeto | caratteri alfabetici | inglese | inserire | lettere | pulsante | pulsante con lettere latine | tasto	fr	alphabet latin	abc | alphabet | alphabet latin | lettres | saisie | saisie de lettres
🔥	fire	af | burn | fire | flame | hot | lit | litaf | tool	ild	flamme | ild	de	Feuer	brennen | Feuer | Flamme | heiß	it	fuoco	bruciare | caldo | calore | esplosione | falò | fiamma | fiamme | fuoco | inferno | passione	fr	feu	allumer | brûler | chaud | feu | flamme | fournaise | incendie
🔦	flashlight	electric | electric torch | flashlight | light | tool | torch	lommelykt	elektrisk | lommelykt | lykt | lys	de	Taschenlampe	Lampe | Licht | Taschenlampe	it	torcia	elettrica | luce | pila | torcia	fr	torche	lampe torche | lampe électrique | lumière | outil | torche
🔧	wrench	home | improvement | spanner | tool | wrench	fastnøkkel	fastnøkkel | skrunøkkel | verktøy	de	Schraubenschlüssel	Schraubenschlüssel | Werkzeug	it	chiave inglese	attrezzo | chiave | chiave inglese | diy | fai da te | idraulico | inglese | lavoro | meccanico | utensile	fr	clé à molette	clé | clé à molette | outil | travaux
🔨	hammer	hammer | home | improvement | repairs | tool	hammer	hammer | verktøy	de	Hammer	Hammer | Werkzeug	it	martello	attrezzo | bricolage | falegname | lavoro | martello | meccanico | muratore | operaio | riparare | riparazioni | utensile	fr	marteau	marteau | outil | réparer | travaux
🔩	nut and bolt	bolt | home | improvement | nut | nut and bolt | tool	mutter og skrue	mutter | mutter og skrue | skrue | verktøy	de	Mutter und Schraube	Mutter und Schraube | Schraube	it	vite e bullone	attrezzo | bricolage | bullonare | bullone | dado | fai da te | fissare | lavori di casa | lavoro | vite e bullone	fr	vis et écrou	boulon | outil | travaux | vis | vis et écrou | écrou
🔪	kitchen knife	chef | cooking | hocho | kitchen | kitchen knife | knife | tool | weapon	kokkekniv	kniv | kokkekniv | matlaging | verktøy | våpen	de	Küchenmesser	Küchenmesser | Messer | schneiden	it	coltello da cucina	arma | chef | coltello | coltello da cucina | cucina | fame | posate	fr	couteau de cuisine	arme | chef | couteau | couteau de cuisine | cuisine | outil
🔫	water pistol	gun | handgun | pistol | revolver | tool | water | water pistol | weapon	vannpistol	leketøysvåpen | pistol | revolver | vannpistol | våpen	de	Wasserpistole	Pistole | Revolver | Waffe | Wasserpistole	it	pistola ad acqua	arma | pistola | pistola ad acqua | revolver | sparare	fr	pistolet à eau	arme | arme à feu | flingue | pistolet | pistolet à eau | revolver
🔬	microscope	experiment | lab | microscope | science | tool	mikroskop	forskning | mikroskop | verktøy | vitenskap	de	Mikroskop	Labor | Mikroskop | untersuchen | Wissenschaft	it	microscopio	analisi | esperimento | microrganismo | microscopio | ricerca | scienza | scienziata | scienziato | strumento	fr	microscope	expérience | laboratoire | microscope | outil | science
🔭	telescope	contact | extraterrestrial | science | telescope | tool	teleskop	astronomi | forskning | teleskop | verktøy | vitenskap	de	Teleskop	Himmel | Teleskop	it	telescopio	astronomia | corpi celesti | costellazioni | galileo galilei | osservatorio | osservazione delle stelle | scientifico | scienza | spazio | stelle | telescopio | universo	fr	télescope	astronomie | espace | outil | planètes | science | télescope
🔮	crystal ball	ball | crystal | crystal ball | fairy | fairytale | fantasy | fortune | future | magic | tale | tool	krystallkule	krystallkule | spådom | spådommer	de	Kristallkugel	Kristallkugel | Wahrsager | Zukunft	it	sfera di cristallo	chiaroveggenza | chiromanzia | cristallo | futuro | magia | sfera | sfera di cristallo | sfera viola	fr	boule de cristal	avenir | boule de cristal | cristal | magie | voyant | voyante
🔯	dotted six-pointed star	dotted | dotted six-pointed star | fortune | jewish | judaism | six pointed star with middle dot | six-pointed | star	sekstagget stjerne med prikk	magi | sekskantet | sekstagget stjerne med prikk | stjerne	de	Hexagramm mit Punkt	Hexagramm mit Punkt | Wahrsager	it	stella a sei punte	chiromanzia | futuro | sei punte | stella | stella a sei punte	fr	étoile à 6 branches	chance | judaïsme | juif | juive | étoile | étoile à 6 branches
🔰	Japanese symbol for beginner	beginner | chevron | green | Japanese | Japanese symbol for beginner | japanese symbol for beginner | leaf | symbol | tool | yellow	japansk tegn for nybegynner	grønn og gul | grønt og gult blad | japansk | japansk tegn for nybegynner | nybegynner	de	japanisches Anfänger-Zeichen	Anfänger | Japanisches Anfänger-Zeichen | japanisches Anfänger-Zeichen | japanisches Symbol	it	ideogramma giapponese di “Principiante”	etichetta gialla e verde principiante | gallone | giallo | ideogramma giapponese di “Principiante” | patente | principiante | simbolo principiante Giappone | verde | zig zag	fr	symbole japonais de débutant	chevron | chevron jaune et vert | débutant | symbole japonais | symbole japonais de débutant
🔱	trident emblem	anchor | emblem | poseidon | ship | tool | trident | trident emblem	treforkemblem	anker | emblem | treenighet | trefork | treforkemblem | tridentsymbol	de	Dreizack	Anker | Dreizack | Poseidon | Triton	it	tridente	ancora | barca | dio del mare | favola | fiaba | marino | naufragio | nave | oceano | poseidone | simbolo | tridente	fr	trident	ancre | bateau | fourche | mer | Poséidon | trident
🔲	black square button	black | black square button | button | geometric | square	svart firkantet knapp	firkant | knapp | svart firkantet knapp	de	schwarze quadratische Schaltfläche	quadratisch | Schaltfläche | schwarz | Schwarze quadratische Schaltfläche | schwarze quadratische Schaltfläche	it	tasto quadrato bianco con bordo nero	geometria | pulsante | pulsante quadrato pieno | quadrato | quadrato nero | simbolo | tasto | tasto quadrato bianco con bordo nero	fr	carré noir	bouton | carré | carré noir | forme | géométrie
🔳	white square button	button | geometric | outlined | square | white | white square button	hvit firkantet knapp	firkant | hvit firkantet knapp | knapp	de	weiße quadratische Schaltfläche	Quadrat | quadratisch | Schaltfläche | weiß | Weiße quadratische Schaltfläche | weiße quadratische Schaltfläche	it	tasto quadrato nero con bordo bianco	contorno | geometria | pulsante | pulsante quadrato con contorno | tasto quadrato nero con bordo bianco	fr	carré blanc	bouton | carré | carré blanc | forme | géométrie
🔴	red circle	circle | geometric | large red circle | red | red circle	rød sirkel	geometrisk | rød | rød sirkel | sirkel	de	roter Punkt	Ball | Punkt | rot | roter Punkt	it	cerchio rosso	cerchio | cerchio rosso | cerchio rosso grande | geometria | rosso | stop	fr	disque rouge	cercle | disque rouge | forme géométrique | géométrie | rond | rouge
🔵	blue circle	blue | blue circle | circle | geometric | large blue circle	blå sirkel	blå | blå sirkel | geometrisk | sirkel	de	blauer Punkt	Ball | blau | blauer Punkt | Großer blauer Kreis | Kreis | Punkt	it	cerchio blu	blu | cerchio | cerchio blu | geometria | grande	fr	disque bleu	bleu | cercle | disque bleu | forme géométrique | géométrie | rond
🔶	large orange diamond	diamond | geometric | large | large orange diamond | orange	stort oransje rutersymbol	geometrisk | oransje | ruter | stort oransje rutersymbol	de	große orangefarbene Raute	Große orangefarbene Raute | große orangefarbene Raute | orangefarben | Raute	it	rombo arancione grande	arancione | forma | geometria | grande | quadrato | rombo | rombo arancione grande	fr	grand losange orange	forme géométrique | grand losange orange | géométrie | losange
🔷	large blue diamond	blue | diamond | geometric | large | large blue diamond	stort blått rutersymbol	blå | geometrisk | ruter | stort blått rutersymbol	de	große blaue Raute	blau | Große blaue Raute | große blaue Raute | Raute	it	rombo blu grande	blu | diamante | grande | rombo | rombo blu grande	fr	grand losange bleu	forme géométrique | grand losange bleu | grand losange orange | géométrie | losange
🔸	small orange diamond	diamond | geometric | orange | small | small orange diamond	lite oransje rutersymbol	geometrisk | lite oransje rutersymbol | oransje | ruter	de	kleine orangefarbene Raute	Kleine orangefarbene Raute | kleine orangefarbene Raute | orangefarben | Raute	it	rombo arancione piccolo	arancione | piccolo | rombo | rombo arancione piccolo	fr	petit losange orange	forme géométrique | géométrie | losange | petit losange orange
🔹	small blue diamond	blue | diamond | geometric | small | small blue diamond	lite blått rutersymbol	blå | geometrisk | lite blått rutersymbol | ruter	de	kleine blaue Raute	blau | Kleine blaue Raute | kleine blaue Raute | Raute	it	rombo blu piccolo	blu | piccolo | rombo | rombo blu piccolo	fr	petit losange bleu	forme géométrique | géométrie | losange | petit losange bleu
🔺	red triangle pointed up	geometric | pointed | red | red triangle pointed up | triangle | up | up-pointing red triangle	rød trekant som peker opp	geometrisk | oppover | rød trekant som peker opp | trekant	de	rotes Dreieck mit der Spitze nach oben	aufwärts | Dreieck | rot | rotes Dreieck mit der Spitze nach oben | Rotes Dreieck mit Spitze oben	it	triangolo rosso con punta verso l’alto	alto | forma | geometria | rosso | triangolo | triangolo rosso con punta verso l’alto | triangolo rosso punta in alto	fr	triangle rouge pointant vers le haut	flèche | forme géométrique | géométrie | rouge | triangle haut | triangle rouge pointant vers le haut | triangle rouge pointé vers le haut
🔻	red triangle pointed down	down | down-pointing red triangle | geometric | pointed | red | red triangle pointed down | triangle	rød trekant som peker ned	geometrisk | nedover | rød trekant som peker ned | trekant	de	rotes Dreieck mit der Spitze nach unten	abwärts | Dreieck | rot | rotes Dreieck mit der Spitze nach unten	it	triangolo rosso con punta verso il basso	basso | geometria | rosso | triangolo | triangolo rosso con punta verso il basso | triangolo rosso punta in basso	fr	triangle rouge pointant vers le bas	bas | flèche | forme | géométrie | rouge | triangle bas | triangle rouge pointant vers le bas | triangle rouge pointé vers le bas
🔼	upwards button	arrow | button | red | up | up-pointing small red triangle | upwards | upwards button	oppover-knapp	oppover | oppover-knapp | pil	de	Aufwärts-Schaltfläche	aufwärts | Aufwärts-Schaltfläche | nach oben | Pfeil | Schaltfläche	it	pulsante a triangolo rivolto verso l’alto	alto | in alto | pulsante | pulsante a triangolo rivolto verso l’alto | tasto | triangolo	fr	petit triangle haut	bouton haut | flèche | haut | petit triangle haut
🔽	downwards button	arrow | button | down | down-pointing small red triangle | downwards | downwards button | red	nedover-knapp	ned | nedover | nedover-knapp	de	Abwärts-Schaltfläche	abwärts | Abwärts-Schaltfläche | nach unten | Pfeil | Schaltfläche	it	pulsante a triangolo rivolto verso il basso	basso | in basso | in giù | pulsante | pulsante a triangolo rivolto verso il basso | tasto | triangolo | triangolo con punta in basso | triangolo in basso	fr	petit triangle bas	bas | bouton bas | flèche | petit triangle bas
🕉️	om	Hindu | om | religion	om	hindu | om | religion	de	om	Hinduismus | om | Religion	it	Om	Induismo | induismo | mantra | Om | religione induista | religone	fr	om	hindou | om | religion
🕊️	dove	bird | dove | fly | ornithology | peace	fredsdue	due | dyr | fly | fred | fredsdue | fugl	de	Taube	fliegen | Friede | Frieden | Friedenstaube | Taube | Vogel	it	colomba	animale | colomba | ornitologia | pace | Pasqua | uccellino | uccello | ulivo | volare	fr	colombe	animal | colombe | oiseau | paix | rameau | voler
🕋	kaaba	hajj | islam | kaaba | Muslim | religion | umrah	Kaba	islam | Kaba | muslim | religion	de	Kaaba	Hajj | Islam | Kaaba | Moslem | Muslim | Religion	it	Kaaba	Arabia Saudita | Islam | Islamismo | islamismo | Kaaba | La Mecca | musulmana | musulmani | musulmano | religione	fr	kaaba	islam | Kaaba | kaaba | musulman | musulmane | religion | voyage
🕌	mosque	islam | masjid | mosque | Muslim | religion	moské	bygning | islam | moské | muslim | religion	de	Moschee	Islam | Moschee | Moslem | Muslim | Religion	it	moschea	islam | Islamismo | islamismo | moschea | musulmani | musulmano | pregare | preghiera | religione	fr	mosquée	islam | mosquée | musulman | musulmane | religion | voyage
🕍	synagogue	Jew | Jewish | judaism | religion | synagogue | temple	synagoge	bygning | jøde | jødisk | religion | synagoge | tempel	de	Synagoge	Jude | jüdisch | Religion | Synagoge | Tempel	it	sinagoga	Ebraismo | ebraismo | religione | sinagoga | tempio ebraico	fr	synagogue	judaïsme | juif | juive | religion | synagogue | temple | voyage
🕎	menorah	candelabrum | candlestick | hanukkah | jewish | judaism | menorah | menorah with nine branches | religion	menora	lysestake | menora | religion	de	Menora	Leuchter | Menora | Religion	it	Menorah	candelabro | Ebraismo | Menorah | religione | sette bracci	fr	chandelier à sept branches	candélabre | chandelier | chandelier à sept branches | Hanoucca | Hanoukka | judaïsme | juif | juive | menora | menorah | religion
🕐	one o’clock	1 | 1:00 | clock | clock face one oclock | one | one o’clock | o’clock | time	klokken ett	1 | 13:00 | 1:00 | ett | klokka | klokken | klokken ett | tretten	de	1:00 Uhr	01:00 | 1 | 13:00 | 1:00 Uhr | Punkt eins | Uhr | Zeit | Ziffernblatt 1.00 Uhr | Ziffernblatt 1:00 Uhr	it	ore una	13:00 | 1:00 | ora | ore una | orologio | tempo	fr	une heure	1 h | 13 h | heure | horloge | treize heures | une heure
🕑	two o’clock	2 | 2:00 | clock | clock face two oclock | o’clock | time | two | two o’clock	klokken to	14:00 | 2 | 2:00 | fjorten | klokka | klokken | klokken to | to	de	2:00 Uhr	2 | 2:00 Uhr | Uhr | Zeit | Ziffernblatt 2.00 Uhr | Ziffernblatt 2:00 Uhr	it	ore due	14:00 | 2:00 | ore due | orologio | tempo	fr	deux heures	14 h | 2 h | deux heures | heure | horloge | quatorze heures
🕒	three o’clock	3 | 3:00 | clock | clock face three oclock | o’clock | three | three o’clock | time	klokken tre	15:00 | 3 | 3:00 | femten | klokka | klokken | klokken tre | tre	de	3:00 Uhr	3 | 3:00 Uhr | Uhr | Zeit | Ziffernblatt 3.00 Uhr | Ziffernblatt 3:00 Uhr	it	ore tre	15:00 | 3:00 | ora | ore tre | orologio | tempo	fr	trois heures	15 h | 3 h | heure | horloge | quinze heures | trois heures
